"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"China","CHN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","4225.18287096144","","","","","3728.04983102511","","","","","3263.2274978829","","","","","2981.59424667843","","","","","2788.93152097399","","","","","2594.93466539365","","","","","2414.65445462115","","","","","2286.8524276975","","","","","2196.9696969697","","","","","2134.48062615479","","","","","2082.63153413613","","2061.90856648611","","","","","",
"Cote d'Ivoire","CIV","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","20377.8224371388","","","","","16909.6009739085","","","","","13780.3938925811","","","","","10935.7494830994","","","","","8766.69668381786","","","","","7182.52071330918","","","","","5997.30527118957","","","","","5078.4291474868","","","","","4459.26507202868","","","","","4008.08774102579","","","","","3566.12658691241","","3392.84155469679","","","","","",
"Cameroon","CMR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","50567.4576367882","","","","","45105.9245723198","","","","","39754.3212073431","","","","","34611.4641283236","","","","","29781.3330168294","","","","","25440.1613856743","","","","","21840.8753822853","","","","","19031.7522827123","","","","","16689.4878601399","","","","","14575.3278033935","","","","","12706.3821318293","","12036.0510148684","","","","","",
"Congo, Dem. Rep.","COD","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","56105.5632406324","","","","","48969.9311020275","","","","","42610.8864281155","","","","","37114.7336007519","","","","","32470.7057410481","","","","","28545.4132785904","","","","","24106.7679108062","","","","","20535.2021279945","","","","","18046.3191263753","","","","","15396.8057068363","","","","","13039.5575115987","","12200.5035635841","","","","","",
"Congo, Rep.","COG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","207624.495201255","","","","","182035.700316759","","","","","157836.137650175","","","","","136262.443922173","","","","","117779.693613635","","","","","102241.90711553","","","","","89158.3452211127","","","","","77425.2950531514","","","","","67061.6456625766","","","","","57273.7833900352","","","","","49221.7858284714","","46865.3617267057","","","","","",
"Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","125490.568667094","","","","","108128.489916325","","","","","95263.7907660741","","","","","85238.9741201361","","","","","76329.578523013","","","","","68760.1090583414","","","","","62313.7686208139","","","","","56860.6556073354","","","","","52476.6020409362","","","","","49042.5656546202","","","","","46552.6634981629","","45668.2163840571","","","","","",
"Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","6085.25441434497","","","","","5558.2059963779","","","","","5015.98846322653","","","","","4349.40195723088","","","","","3670.33088032886","","","","","3185.94784603376","","","","","2749.46843610235","","","","","2390.66207393919","","","","","2107.18920276252","","","","","1870.26588946729","","","","","1657.75393682023","","1580.21569944297","","","","","",
"Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1427.60609492629","","","","","1211.98899513992","","","","","1103.57816828096","","","","","1097.55428320559","","","","","1019.52734712187","","","","","934.186557055444","","","","","843.272233575165","","","","","742.098506155707","","","","","677.275816060919","","","","","631.499179051067","","","","","593.783091036844","","578.849979450826","","","","","",
"Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","78837.1176312586","","","","","66598.6142773284","","","","","58122.519184289","","","","","51232.8760912489","","","","","44781.667574189","","","","","39170.133916795","","","","","34382.8730693865","","","","","30384.9286451629","","","","","27554.7589873016","","","","","25654.8339610065","","","","","24104.0955631399","","23564.2687277547","","","","","",
"Caribbean small states","CSS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","85348.5874309886","","","","","78848.5835409714","","","","","74128.2189804437","","","","","70064.9613533593","","","","","66141.6173524378","","","","","63034.2501993697","","","","","60786.3971018262","","","","","58253.9736291246","","","","","56257.0732774511","","","","","54376.5008100661","","","","","52536.9150101129","","51798.8941141866","","","","","",
"Cuba","CUB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5114.34834991159","","","","","4611.4502357743","","","","","4223.66125616251","","","","","3951.83898391709","","","","","3834.88776062172","","","","","3705.7765103737","","","","","3550.54265461929","","","","","3468.69241215345","","","","","3403.6774895932","","","","","3388.10653728579","","","","","3386.30700746133","","3371.39209307731","","","","","",
"Curacao","CUW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1350.20279007289","","","","","1319.1094996178","","","","","1242.04217210883","","","","","1172.00706209384","","","","","1127.65323795507","","","","","1078.27741036473","","","","","974.255912047174","","","","","875.234237368014","","","","","798.391752408482","","","","","733.280499533239","","","","","687.196818454935","","676.915867168279","","","","","",
"Czech Republic","CZE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1276.18719133132","","","","","1289.60560232133","","","","","1276.84431665428","","","","","1251.09589816555","","1249.36498530642","","","","","",
"Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1445.44230696699","","","","","1390.48917877137","","","","","1359.79292107564","","","","","1368.98995179287","","","","","1365.95687717543","","","","","1374.6160067996","","","","","1327.13840011953","","","","","1304.32496727516","","","","","1297.15059051568","","","","","1300.65295695792","","","","","1330.41846522354","","1321.27311456179","","","","","",
"Djibouti","DJI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3184.57814954779","","","","","2283.15714970661","","","","","1673.88296210329","","","","","1081.16289881396","","","","","778.672674558947","","","","","611.832847266127","","","","","487.762050161449","","","","","453.951878074578","","","","","401.637610416873","","","","","372.462136120012","","","","","345.567975524572","","333.816997071312","","","","","",
"Dominica","DMA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","3226.74324803975","","","","","2954.82079011908","","","","","2788.19478328756","","","","","2723.31154684096","","","","","2666.5600042665","","","","","2783.88686283789","","","","","2835.11000226809","","","","","2832.90131588266","","","","","2863.81144665435","","","","","2825.05826682675","","","","","2818.2907066864","","2813.53309418302","","","","","",
"Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1290.95362098505","","","","","1240.8605450604","","","","","1202.02035581405","","","","","1179.14817942469","","","","","1172.37646571483","","","","","1170.26953647964","","","","","1160.23413524849","","","","","1135.29048583053","","","","","1116.08575333277","","","","","1098.61175756275","","","","","1073.04350189893","","1063.17472833671","","","","","",
"Dominican Republic","DOM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","6674.20615287965","","","","","5699.60602382872","","","","","4941.68911980947","","","","","4345.81599630143","","","","","3872.92201253508","","","","","3491.8624004132","","","","","3172.09977617124","","","","","2906.83039584722","","","","","2693.41745964888","","","","","2516.36682460527","","","","","2366.348867692","","2311.8139200317","","","","","",
